18;ACRD MALMEQUERES;EU BARREIRO;18-02-2024
18;BARROS FC;LEOES STA LUCRECIA;18-02-2024
18;ARC CAIRES;UF GARAPOA;18-02-2024
18;FOLGA;UNIAO DA RODOVIA;18-02-2024 			
19;UNIAO DA RODOVIA;JACARES FC;25-02-2024
19;JUVENTUDE GUALTAR;FOLGA;25-02-2024
19;AM BESTEIROS;IMPARAVEIS FC;25-02-2024
19;GD PENELA;ESTRELAS DE FERREIROS;25-02-2024
19;A.C.R.FISCAL;ACRD MALMEQUERES;25-02-2024
19;EU BARREIRO;BARROS FC;25-02-2024
19;LEOES STA LUCRECIA;ARC CAIRES;25-02-2024
19;UF GARAPOA;FOLGA;25-02-2024 			
20;FOLGA;JACARES FC;03-03-2024
20;IMPARAVEIS FC;JUVENTUDE GUALTAR;03-03-2024
20;ESTRELAS DE FERREIROS;AM BESTEIROS;03-03-2024
20;ACRD MALMEQUERES;GD PENELA;03-03-2024
20;BARROS FC;A.C.R.FISCAL;03-03-2024
20;ARC CAIRES;EU BARREIRO;03-03-2024
20;FOLGA;LEOES STA LUCRECIA;03-03-2024
20;UF GARAPOA;UNIAO DA RODOVIA;03-03-2024 			
21;UNIAO DA RODOVIA;FOLGA;10-03-2024
21;JACARES FC;IMPARAVEIS FC;10-03-2024
21;JUVENTUDE GUALTAR;ESTRELAS DE FERREIROS;10-03-2024
21;AM BESTEIROS;ACRD MALMEQUERES;10-03-2024
21;GD PENELA;BARROS FC;10-03-2024
21;A.C.R.FISCAL;ARC CAIRES;10-03-2024
21;EU BARREIRO;FOLGA;10-03-2024
21;LEOES STA LUCRECIA;UF GARAPOA;10-03-2024		
22;IMPARAVEIS FC;FOLGA;24-03-2024 
22;ESTRELAS DE FERREIROS;JACARES FC;24-03-2024
22;ACRD MALMEQUERES;JUVENTUDE GUALTAR;24-03-2024
22;BARROS FC;AM BESTEIROS;24-03-2024
22;ARC CAIRES;GD PENELA;24-03-2024
22;FOLGA;A.C.R.FISCAL;24-03-2024
22;UF GARAPOA;EU BARREIRO;24-03-2024
22;LEOES STA LUCRECIA;UNIAO DA RODOVIA;24-03-2024
23;UNIAO DA RODOVIA;IMPARAVEIS FC;07-04-2024
23;FOLGA;ESTRELAS DE FERREIROS;07-04-2024 
23;JACARES FC;ACRD MALMEQUERES;07-04-2024
23;JUVENTUDE GUALTAR;BARROS FC;07-04-2024
23;AM BESTEIROS;ARC CAIRES;07-04-2024
23;GD PENELA;FOLGA;07-04-2024 
23;A.C.R.FISCAL;UF GARAPOA;07-04-2024
23;EU BARREIRO;LEOES STA LUCRECIA;07-04-2024			
24;ESTRELAS DE FERREIROS;IMPARAVEIS FC;14-04-2024
24;ACRD MALMEQUERES;FOLGA;14-04-2024 
24;BARROS FC;JACARES FC;14-04-2024
24;ARC CAIRES;JUVENTUDE GUALTAR;14-04-2024
24;FOLGA;AM BESTEIROS;14-04-2024
24;UF GARAPOA;GD PENELA;14-04-2024
24;LEOES STA LUCRECIA;A.C.R.FISCAL;14-04-2024
24;EU BARREIRO;UNIAO DA RODOVIA;14-04-2024			
25;UNIAO DA RODOVIA;ESTRELAS DE FERREIROS;21-04-2024
25;IMPARAVEIS FC;ACRD MALMEQUERES;21-04-2024
25;FOLGA;BARROS FC;21-04-2024
25;JACARES FC;ARC CAIRES;21-04-2024
25;JUVENTUDE GUALTAR;FOLGA;21-04-2024
25;AM BESTEIROS;UF GARAPOA;21-04-2024
25;GD PENELA;LEOES STA LUCRECIA;21-04-2024
25;A.C.R.FISCAL;EU BARREIRO;21-04-2024 			
26;ACRD MALMEQUERES;ESTRELAS DE FERREIROS;28-04-2024 
26;BARROS FC;IMPARAVEIS FC;28-04-2024
26;ARC CAIRES;FOLGA;28-04-2024 
26;FOLGA;JACARES FC;28-04-2024
26;UF GARAPOA;JUVENTUDE GUALTAR;28-04-2024
26;LEOES STA LUCRECIA;AM BESTEIROS;28-04-2024
26;EU BARREIRO;GD PENELA;28-04-2024
26;A.C.R.FISCAL;UNIAO DA RODOVIA;28-04-2024	
27;UNIAO DA RODOVIA;ACRD MALMEQUERES;05-05-2024
27;ESTRELAS DE FERREIROS;BARROS FC;05-05-2024
27;IMPARAVEIS FC;ARC CAIRES;05-05-2024
27;FOLGA;FOLGA;05-05-2024
27;JACARES FC;UF GARAPOA;05-05-2024
27;JUVENTUDE GUALTAR;LEOES STA LUCRECIA;05-05-2024
27;AM BESTEIROS;EU BARREIRO;05-05-2024
27;GD PENELA;A.C.R.FISCAL;05-05-2024			
28;BARROS FC;ACRD MALMEQUERES;12-05-2024
28;ARC CAIRES;ESTRELAS DE FERREIROS;12-05-2024 
28;FOLGA;IMPARAVEIS FC;12-05-2024
28;UF GARAPOA;FOLGA;12-05-2024
28;LEOES STA LUCRECIA;JACARES FC;12-05-2024
28;EU BARREIRO;JUVENTUDE GUALTAR;12-05-2024
28;A.C.R.FISCAL;AM BESTEIROS;12-05-2024
28;GD PENELA;UNIAO DA RODOVIA;12-05-2024			
29;BARROS FC;UNIAO DA RODOVIA;19-05-2024
29;ACRD MALMEQUERES;ARC CAIRES;19-05-2024
29;ESTRELAS DE FERREIROS;FOLGA;19-05-2024
29;IMPARAVEIS FC;UF GARAPOA;19-05-2024
29;FOLGA;LEOES STA LUCRECIA;19-05-2024
29;JACARES FC;EU BARREIRO;19-05-2024
29;JUVENTUDE GUALTAR;A.C.R.FISCAL;19-05-2024
29;AM BESTEIROS;GD PENELA;19-05-2024 			
30;ARC CAIRES;BARROS FC;26-05-2024
30;FOLGA;ACRD MALMEQUERES;26-05-2024
30;UF GARAPOA;ESTRELAS DE FERREIROS;26-05-2024 
30;LEOES STA LUCRECIA;IMPARAVEIS FC;26-05-2024
30;EU BARREIRO;FOLGA;26-05-2024 
30;A.C.R.FISCAL;JACARES FC;26-05-2024
30;GD PENELA;JUVENTUDE GUALTAR;26-05-2024
30;UNIAO DA RODOVIA;AM BESTEIROS;26-05-2024
